NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CXCR3	1	CXCR3	
CXCR2	1	CXCR2	
SLC39A13	1	SLC39A13	
UBIAD1	1	UBIAD1	
CYSLTR1	1	CYSLTR1	
CYSLTR2	1	CYSLTR2	
UGCG	1	UGCG	
IL20RB	1	IL20RB	
TMEM68	1	TMEM68	
CTNS	1	CTNS	
SLC30A8	1	SLC30A8	
CALHM2	1	CALHM2	
CALHM4	1	CALHM4	
GALR1	1	GALR1	
RHD	1	RHD	
FFAR4	1	FFAR4	
FFAR3	1	FFAR3	
FFAR2	1	FFAR2	
SCD5	1	SCD5	
C5AR1	1	C5AR1	
SELENOI	1	SELENOI	
FAXDC2	1	FAXDC2	
TAAR2	1	TAAR2	
AQP7	1	AQP7	
OR2T1	1	OR2T1	
OPN1MW2	1	OPN1MW2	
OPN1MW3	1	OPN1MW3	
TAS2R39	1	TAS2R39	
OR1I1	1	OR1I1	
TMEM192	1	TMEM192	
PLPPR1	1	PLPPR1	
TMEM163	1	TMEM163	
OR1L6	1	OR1L6	
OR1L1	1	OR1L1	
DNAJC22	1	DNAJC22	
OR2B2	1	OR2B2	
MT-CYB	1	MT-CYB	
TSPAN12	1	TSPAN12	
LPAR2	1	LPAR2	
LPAR3	1	LPAR3	
LPAR6	1	LPAR6	
LTB4R2	1	LTB4R2	
P2RY8	1	P2RY8	
P2RY4	1	P2RY4	
P2RY1	1	P2RY1	
TMEM38A	1	TMEM38A	
GHITM	1	GHITM	
CCRL2	1	CCRL2	
RHAG	1	RHAG	
RHCE	1	RHCE	
OPRD1	1	OPRD1	
GHSR	1	GHSR	
OPRL1	1	OPRL1	
YIF1B	1	YIF1B	
COX18	1	COX18	
OPN1SW	1	OPN1SW	
GJC3	1	GJC3	
GJB5	1	GJB5	
OR8S1	1	OR8S1	
OR10J3	1	OR10J3	
ELOVL4	1	ELOVL4	
P2RY12	1	P2RY12	
P2RY13	1	P2RY13	
P2RY10	1	P2RY10	
P2RY11	1	P2RY11	
P2RY14	1	P2RY14	
DUOXA1	1	DUOXA1	
GPER1	1	GPER1	
OPN1LW	1	OPN1LW	
OPN1MW	1	OPN1MW	
EI24	1	EI24	
CCR1	1	CCR1	
CCR8	1	CCR8	
CCR7	1	CCR7	
CCR5	1	CCR5	
CCR4	1	CCR4	
CCR3	1	CCR3	
CD47	1	CD47	
GPR1	1	GPR1	
GPR4	1	GPR4	
GPR6	1	GPR6	
OR5AU1	1	OR5AU1	
LCLAT1	1	LCLAT1	
GSG1	1	GSG1	
RNFT1	1	RNFT1	
BEST2	1	BEST2	
SLC39A14	1	SLC39A14	
GABRB1	1	GABRB1	
GABRA6	1	GABRA6	
PRRT1B	1	PRRT1B	
SLCO1C1	1	SLCO1C1	
TSPAN32	1	TSPAN32	
CD200	1	CD200	
CCR10	1	CCR10	
MS4A10	1	MS4A10	
SLC35E2A	1	SLC35E2A	
HTR1F	1	HTR1F	
SLC25A43	1	SLC25A43	
GSG1L2	1	GSG1L2	
TMEM231	1	TMEM231	
LPGAT1	1	LPGAT1	
TOMM40	1	TOMM40	
TSPAN10	1	TSPAN10	
SLC35D2	1	SLC35D2	
SLC35G3	1	SLC35G3	
GPR139	1	GPR139	
TBXA2R	1	TBXA2R	
GPR82	1	GPR82	
CLN8	1	CLN8	
MRGPRD	1	MRGPRD	
MRGPRX3	1	MRGPRX3	
G6PC2	1	G6PC2	
TMBIM1	1	TMBIM1	
TMEM41B	1	TMEM41B	
TM6SF1	1	TM6SF1	
GJB1	1	GJB1	
TMEM178A	1	TMEM178A	
ELOVL5	1	ELOVL5	
CYBRD1	1	CYBRD1	
MAS1	1	MAS1	
YIPF2	1	YIPF2	
KCNK7	1	KCNK7	
MC2R	1	MC2R	
SLC10A7	1	SLC10A7	
SLC10A1	1	SLC10A1	
SLC10A2	1	SLC10A2	
MC1R	1	MC1R	
OR4D11	1	OR4D11	
OR4D10	1	OR4D10	
MC4R	1	MC4R	
MC3R	1	MC3R	
MC5R	1	MC5R	
PLP1	1	PLP1	
SLC35A1	1	SLC35A1	
SLC35A4	1	SLC35A4	
SLC35A3	1	SLC35A3	
SLC35B4	1	SLC35B4	
SLC35B1	1	SLC35B1	
SLC35E4	1	SLC35E4	
SLC35E3	1	SLC35E3	
SLC35G4	1	SLC35G4	
SLC35G6	1	SLC35G6	
SLC35G5	1	SLC35G5	
OR5H15	1	OR5H15	
OR5H14	1	OR5H14	
MYADM	1	MYADM	
MT-ND2	1	MT-ND2	
MT-ND1	1	MT-ND1	
NIPA1	1	NIPA1	
GPR174	1	GPR174	
GPR171	1	GPR171	
GPR141	1	GPR141	
GPR148	1	GPR148	
GPR119	1	GPR119	
RNF170	1	RNF170	
OR4C12	1	OR4C12	
OR4C11	1	OR4C11	
OR4C16	1	OR4C16	
OR4C15	1	OR4C15	
OR4C13	1	OR4C13	
GPM6A	1	GPM6A	
OR4C46	1	OR4C46	
ADORA3	1	ADORA3	
ADORA1	1	ADORA1	
OR2AT4	1	OR2AT4	
OR2AK2	1	OR2AK2	
